place,code
]Korem,923104
A. Ulo,923104
A/adisa,912101
Aaatan,211108
Aaba Titun,202101
Aabon,501101
Aama-Runner,503102
Aam-Ekut,503102
Aawa,703101
Aba,480104
Aba Adeja,361103
Aba Adewale,361104
Aba Adeyemo,361104
Aba Ado,361103
Aba Ajiboye,361104
Aba Ajireni,361104
Aba Alagbado,370101
Aba Alakelu,370101
Aba Alawe,370101
Aba Alayan,370101
Aba Amin,361104
Aba Apapa,106101
Aba Asua,371104
Aba Aworo Epin,370101
Aba Corner,361103
Aba Ebira,361103
Aba Ede,361103
Aba Emo,200129
Aba Eye,361103
Aba Ibadan,202101
Aba Idemo,370101
Aba Igomina,370101
Aba Ikare,370101
Aba Ikare-Idi Osan,361103
Aba Ikire,361103
Aba Ilaje,106101
Aba Ilogbo,361103
Aba Ipin,370101
Aba Iran,370101
Aba Isiaka,370101
Aba Isoko,106101
Aba Iyere,370101
Aba Lade,361104
Aba Ododo,234101
Aba Odofiu,370101
Aba Odole,361103
Aba Oke,200129
Aba Oke Illabo,370101
Aba Olisa Camp,361103
Aba Olokemeta,361103
Aba Oloringbo,370101
Aba Omoto-Aran Camp,361103
Aba Omuaran,361103
Aba Onigbagbo,106101
Aba Onikian,106101
Aba Onireke,370101
Aba Onisu,361103
Aba Osi,361103
Aba Oyinbo,106101
Aba Paanu,361103
Aba Pojo Camp,361103
Aba Sule,202101
Aba Titun,106101
Aba Uro,370101
Abache,270101
Abada,510102
Abadam,602103
Abadam,602101
Abadau,82016
Abadawa,811104
Abadikiri,562101
Abagbo,102101
Abagbrassa,330101
Abagiri,264103
Abagoderi,602104
Abaka,923104
Abakaliki,4.8021E+107
Abakaliki,480101
Abaketa,106101
Abakur,703101
Abalagemo,234101
Abaldu,712103
Abalichi,972108
Abam - Ama Ii,500103
Abamera,370101
Abapawa,106101
Abapawa,120101
Abara Mallam,923104
Abarchi,711102
Abarigwe,480106
Abarigwe,480108
Abaro,512101
Abarura,843101
Abasawa,702101
Abasere,569101
Abata Oke,251105
Abatu,464101
Abaya,720101
Abayol,981114
Abba Ushe,923104
Abbayaywo,750101
Abdallawa,741103
Abdallawa,820103
Abedigbene,562101
Abedu,263106
Abejoye,106101
Abekoko - Ifo Town,112104
Abeloju,112104
Abepaki,112104
Abepe,200109
Aberebi,121101
Abia,480103
Abia,103101
Abiakpo,530103
Abiakpo Ibo,530103
Abiakpo Ikot,530103
Abiakpo Ikot-Obio Nting,530103
Abioboama,500103
Abisoro Camp,350104
Abiya,741104
Abo,270101
Abobir,562103
Abodudu,263106
Abogbe,972108
Abogedegbe,350104
Aboh,473101
Abolikiri,562101
Abolupe,211108
Abomit,106101
Abomiti,106101
Abonkib,552101
Abonu,923104
Aboriji,106101
Aborowa Akande Camp,361103
Abosioto,106101
Abual,510102
Abubakar,923101
Abudakawa,702103
Abudu,112104
Abugaga,202101
Abuja,905102
Abukar,822103
Abuku,561101
Abulam,601101
Abule Ade,102101
Abule Aka,102101
Abule Alabi,106101
Abule Alagbon,106101
Abule Aliu,102101
Abule Aregbe,102101
Abule Fowoseye,106101
Abule Ligali,106101
Abule Odo,202101
Abule Ogun,112104
Abule Osun,102101
Abule Pamo,106101
Abule Soko,106101
Abulobiri,562101
Abuloma,500101
Abunabo Bulama,731105
Abunari,750105
Abuni,951103
Aburaku,612101
Aburbur,752105
Abuse Bassa,260105
Abusta,752106
Abutilori,751106
Abuul,981114
Achabo,260105
Achara,512101
Achau,720103
Acheni,260105
Acherane,270101
Acheze,263101
Achika,713101
Achilafia,705102
Achimopa,263106
Achmbi,903101
Ada Camp,361103
Adaakou,562101
Adaba,260105
Adabda,752106
Adabi,264103
Adabo,923102
Adabode,260105
Adabunoze,264103
Adademe,264103
Adadu,962106
Adagba,905102
Adagbabiri,561101
Adagbo,972108
Adagbrasa,330101
Adagbrassa,330101
Adage,802101
Adagima,260105
Adaha,750103
Adaha,731107
Adai,872105
Adaka,970101
Adakela,842101
Adama,260105
Adamakiri,503101
Adamami,750103
Adamante,752105
Adamkiri,562101
Adamu,923104
Adamuro-Bassa,260105
Adana,972108
Adande,923104
Adanta,511101
Adanya,260105
Adara,923104
Adaraushe,741103
Adaraye,700105
Adari,611102
Addamari,600104
Addaro,923104
Adde,270101
Ade Village,102101
Adeboye,361104
Adeeger,981114
Adegbayi,200109
Adegbite,112104
Adege,263106
